vgg (voltage)	vgg (voltage)	gm(mn1) (conductance)
0.000000e+00	0.000000e+00	1.875395e-08
1.000000e-02	1.000000e-02	2.470992e-08
2.000000e-02	2.000000e-02	3.254103e-08
3.000000e-02	3.000000e-02	4.282944e-08
4.000000e-02	4.000000e-02	5.633398e-08
5.000000e-02	5.000000e-02	7.404178e-08
6.000000e-02	6.000000e-02	9.723417e-08
7.000000e-02	7.000000e-02	1.275701e-07
8.000000e-02	8.000000e-02	1.671913e-07
9.000000e-02	9.000000e-02	2.188543e-07
1.000000e-01	1.000000e-01	2.860946e-07
1.100000e-01	1.100000e-01	3.734292e-07
1.200000e-01	1.200000e-01	4.866052e-07
1.300000e-01	1.300000e-01	6.329014e-07
1.400000e-01	1.400000e-01	8.214922e-07
1.500000e-01	1.500000e-01	1.063881e-06
1.600000e-01	1.600000e-01	1.374411e-06
1.700000e-01	1.700000e-01	1.770870e-06
1.800000e-01	1.800000e-01	2.275180e-06
1.900000e-01	1.900000e-01	2.914199e-06
2.000000e-01	2.000000e-01	3.720613e-06
2.100000e-01	2.100000e-01	4.733055e-06
2.200000e-01	2.200000e-01	5.999322e-06
2.300000e-01	2.300000e-01	7.577317e-06
2.400000e-01	2.400000e-01	9.530488e-06
2.500000e-01	2.500000e-01	1.193568e-05
2.600000e-01	2.600000e-01	1.487867e-05
2.700000e-01	2.700000e-01	1.845103e-05
2.800000e-01	2.800000e-01	2.275338e-05
2.900000e-01	2.900000e-01	2.788460e-05
3.000000e-01	3.000000e-01	3.393610e-05
3.100000e-01	3.100000e-01	4.097664e-05
3.200000e-01	3.200000e-01	4.905908e-05
3.300000e-01	3.300000e-01	5.819584e-05
3.400000e-01	3.400000e-01	6.834177e-05
3.500000e-01	3.500000e-01	7.943093e-05
3.600000e-01	3.600000e-01	9.133973e-05
3.700000e-01	3.700000e-01	1.038878e-04
3.800000e-01	3.800000e-01	1.168953e-04
3.900000e-01	3.900000e-01	1.301376e-04
4.000000e-01	4.000000e-01	1.434104e-04
4.100000e-01	4.100000e-01	1.564899e-04
4.200000e-01	4.200000e-01	1.692068e-04
4.300000e-01	4.300000e-01	1.813932e-04
4.400000e-01	4.400000e-01	1.929368e-04
4.500000e-01	4.500000e-01	2.037378e-04
4.600000e-01	4.600000e-01	2.137556e-04
4.700000e-01	4.700000e-01	2.229677e-04
4.800000e-01	4.800000e-01	2.313654e-04
4.900000e-01	4.900000e-01	2.389884e-04
5.000000e-01	5.000000e-01	2.458774e-04
5.100000e-01	5.100000e-01	2.520838e-04
5.200000e-01	5.200000e-01	2.576659e-04
5.300000e-01	5.300000e-01	2.626782e-04
5.400000e-01	5.400000e-01	2.671893e-04
5.500000e-01	5.500000e-01	2.712578e-04
5.600000e-01	5.600000e-01	2.749387e-04
5.700000e-01	5.700000e-01	2.782829e-04
5.800000e-01	5.800000e-01	2.813359e-04
5.900000e-01	5.900000e-01	2.841382e-04
6.000000e-01	6.000000e-01	2.867229e-04
6.100000e-01	6.100000e-01	2.891234e-04
6.200000e-01	6.200000e-01	2.913658e-04
6.300000e-01	6.300000e-01	2.934724e-04
6.400000e-01	6.400000e-01	2.954616e-04
6.500000e-01	6.500000e-01	2.973489e-04
6.600000e-01	6.600000e-01	2.991468e-04
6.700000e-01	6.700000e-01	3.008659e-04
6.800000e-01	6.800000e-01	3.025143e-04
6.900000e-01	6.900000e-01	3.040987e-04
7.000000e-01	7.000000e-01	3.056227e-04
7.100000e-01	7.100000e-01	3.070922e-04
7.200000e-01	7.200000e-01	3.085105e-04
7.300000e-01	7.300000e-01	3.098823e-04
7.400000e-01	7.400000e-01	3.112071e-04
7.500000e-01	7.500000e-01	3.124829e-04
7.600000e-01	7.600000e-01	3.137143e-04
7.700000e-01	7.700000e-01	3.149050e-04
7.800000e-01	7.800000e-01	3.160526e-04
7.900000e-01	7.900000e-01	3.171543e-04
8.000000e-01	8.000000e-01	3.182138e-04
8.100000e-01	8.100000e-01	3.192342e-04
8.200000e-01	8.200000e-01	3.202128e-04
8.300000e-01	8.300000e-01	3.211471e-04
8.400000e-01	8.400000e-01	3.220403e-04
8.500000e-01	8.500000e-01	3.228954e-04
8.600000e-01	8.600000e-01	3.237100e-04
8.700000e-01	8.700000e-01	3.244820e-04
8.800000e-01	8.800000e-01	3.252144e-04
8.900000e-01	8.900000e-01	3.259102e-04
9.000000e-01	9.000000e-01	3.265673e-04
9.100000e-01	9.100000e-01	3.271842e-04
9.200000e-01	9.200000e-01	3.277637e-04
9.300000e-01	9.300000e-01	3.283087e-04
9.400000e-01	9.400000e-01	3.288176e-04
9.500000e-01	9.500000e-01	3.292891e-04
9.600000e-01	9.600000e-01	3.297261e-04
9.700000e-01	9.700000e-01	3.301312e-04
9.800000e-01	9.800000e-01	3.305033e-04
9.900000e-01	9.900000e-01	3.308413e-04
1.000000e+00	1.000000e+00	3.311479e-04
1.010000e+00	1.010000e+00	3.314256e-04
1.020000e+00	1.020000e+00	3.316735e-04
1.030000e+00	1.030000e+00	3.318909e-04
1.040000e+00	1.040000e+00	3.320801e-04
1.050000e+00	1.050000e+00	3.322436e-04
1.060000e+00	1.060000e+00	3.323805e-04
1.070000e+00	1.070000e+00	3.324903e-04
1.080000e+00	1.080000e+00	3.325753e-04
1.090000e+00	1.090000e+00	3.326376e-04
1.100000e+00	1.100000e+00	3.326765e-04
1.110000e+00	1.110000e+00	3.326916e-04
1.120000e+00	1.120000e+00	3.326849e-04
1.130000e+00	1.130000e+00	3.326584e-04
1.140000e+00	1.140000e+00	3.326115e-04
1.150000e+00	1.150000e+00	3.325439e-04
1.160000e+00	1.160000e+00	3.324574e-04
1.170000e+00	1.170000e+00	3.323537e-04
1.180000e+00	1.180000e+00	3.322323e-04
