vgg (voltage)	vgg (voltage)	gm(mn1) (conductance)
0.000000e+00	0.000000e+00	1.099786e-11
1.000000e-02	1.000000e-02	1.429877e-11
2.000000e-02	2.000000e-02	1.859014e-11
3.000000e-02	3.000000e-02	2.416900e-11
4.000000e-02	4.000000e-02	3.142143e-11
5.000000e-02	5.000000e-02	4.084915e-11
6.000000e-02	6.000000e-02	5.310417e-11
7.000000e-02	7.000000e-02	6.903368e-11
8.000000e-02	8.000000e-02	8.973843e-11
9.000000e-02	9.000000e-02	1.166484e-10
1.000000e-01	1.000000e-01	1.516212e-10
1.100000e-01	1.100000e-01	1.970691e-10
1.200000e-01	1.200000e-01	2.561251e-10
1.300000e-01	1.300000e-01	3.328565e-10
1.400000e-01	1.400000e-01	4.325429e-10
1.500000e-01	1.500000e-01	5.620359e-10
1.600000e-01	1.600000e-01	7.302247e-10
1.700000e-01	1.700000e-01	9.486386e-10
1.800000e-01	1.800000e-01	1.232226e-09
1.900000e-01	1.900000e-01	1.600358e-09
2.000000e-01	2.000000e-01	2.078133e-09
2.100000e-01	2.100000e-01	2.698044e-09
2.200000e-01	2.200000e-01	3.502137e-09
2.300000e-01	2.300000e-01	4.544786e-09
2.400000e-01	2.400000e-01	5.896251e-09
2.500000e-01	2.500000e-01	7.647247e-09
2.600000e-01	2.600000e-01	9.914782e-09
2.700000e-01	2.700000e-01	1.284962e-08
2.800000e-01	2.800000e-01	1.664579e-08
2.900000e-01	2.900000e-01	2.155265e-08
3.000000e-01	3.000000e-01	2.789018e-08
3.100000e-01	3.100000e-01	3.606832e-08
3.200000e-01	3.200000e-01	4.661121e-08
3.300000e-01	3.300000e-01	6.018768e-08
3.400000e-01	3.400000e-01	7.764915e-08
3.500000e-01	3.500000e-01	1.000768e-07
3.600000e-01	3.600000e-01	1.288396e-07
3.700000e-01	3.700000e-01	1.656662e-07
3.800000e-01	3.800000e-01	2.127319e-07
3.900000e-01	3.900000e-01	2.727647e-07
4.000000e-01	4.000000e-01	3.491741e-07
4.100000e-01	4.100000e-01	4.462051e-07
4.200000e-01	4.200000e-01	5.691227e-07
4.300000e-01	4.300000e-01	7.244325e-07
4.400000e-01	4.400000e-01	9.201425e-07
4.500000e-01	4.500000e-01	1.166073e-06
4.600000e-01	4.600000e-01	1.474223e-06
4.700000e-01	4.700000e-01	1.859197e-06
4.800000e-01	4.800000e-01	2.338696e-06
4.900000e-01	4.900000e-01	2.934079e-06
5.000000e-01	5.000000e-01	3.670409e-06
5.100000e-01	5.100000e-01	4.578431e-06
5.200000e-01	5.200000e-01	5.695043e-06
5.300000e-01	5.300000e-01	7.061002e-06
5.400000e-01	5.400000e-01	8.721346e-06
5.500000e-01	5.500000e-01	1.072939e-05
5.600000e-01	5.600000e-01	1.314269e-05
5.700000e-01	5.700000e-01	1.601622e-05
5.800000e-01	5.800000e-01	1.939929e-05
5.900000e-01	5.900000e-01	2.334229e-05
6.000000e-01	6.000000e-01	2.788380e-05
6.100000e-01	6.100000e-01	3.304040e-05
6.200000e-01	6.200000e-01	3.880163e-05
6.300000e-01	6.300000e-01	4.515028e-05
6.400000e-01	6.400000e-01	5.203834e-05
6.500000e-01	6.500000e-01	5.939562e-05
6.600000e-01	6.600000e-01	6.713317e-05
6.700000e-01	6.700000e-01	7.513925e-05
