%vgg (voltage)	vgg (voltage)	gm(mn1) (conductance)
0.000000e+00	0.000000e+00	3.958217e-10
1.000000e-02	1.000000e-02	5.190008e-10
2.000000e-02	2.000000e-02	6.804555e-10
3.000000e-02	3.000000e-02	8.920507e-10
4.000000e-02	4.000000e-02	1.169315e-09
5.000000e-02	5.000000e-02	1.532564e-09
6.000000e-02	6.000000e-02	2.008368e-09
7.000000e-02	7.000000e-02	2.631457e-09
8.000000e-02	8.000000e-02	3.447212e-09
9.000000e-02	9.000000e-02	4.514882e-09
1.000000e-01	1.000000e-01	5.911787e-09
1.100000e-01	1.100000e-01	7.738738e-09
1.200000e-01	1.200000e-01	1.012707e-08
1.300000e-01	1.300000e-01	1.324770e-08
1.400000e-01	1.400000e-01	1.732283e-08
1.500000e-01	1.500000e-01	2.264096e-08
1.600000e-01	1.600000e-01	2.957611e-08
1.700000e-01	1.700000e-01	3.861243e-08
1.800000e-01	1.800000e-01	5.037544e-08
1.900000e-01	1.900000e-01	6.567174e-08
2.000000e-01	2.000000e-01	8.553896e-08
2.100000e-01	2.100000e-01	1.113087e-07
2.200000e-01	2.200000e-01	1.446847e-07
2.300000e-01	2.300000e-01	1.878408e-07
2.400000e-01	2.400000e-01	2.435405e-07
2.500000e-01	2.500000e-01	3.152845e-07
2.600000e-01	2.600000e-01	4.074897e-07
2.700000e-01	2.700000e-01	5.257058e-07
2.800000e-01	2.800000e-01	6.768747e-07
2.900000e-01	2.900000e-01	8.696401e-07
3.000000e-01	3.000000e-01	1.114714e-06
3.100000e-01	3.100000e-01	1.425305e-06
3.200000e-01	3.200000e-01	1.817626e-06
3.300000e-01	3.300000e-01	2.311470e-06
3.400000e-01	3.400000e-01	2.930880e-06
3.500000e-01	3.500000e-01	3.704332e-06
3.600000e-01	3.600000e-01	4.666916e-06
3.700000e-01	3.700000e-01	5.861081e-06
3.800000e-01	3.800000e-01	7.334710e-06
3.900000e-01	3.900000e-01	9.141881e-06
4.000000e-01	4.000000e-01	1.134765e-05
